Timestamp,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Asset Volume,Taker Quote Asset Volume
1587562620000,15.5525,15.5525,15.5352,15.5468,1218.03,18930.0738,79.0,364.4,5665.076632
1587562680000,15.5467,15.5611,15.5463,15.5611,2617.6,40728.135456,81.0,2062.37,32090.091979
1587562740000,15.5611,15.5678,15.5344,15.5678,2785.44,43328.548843,162.0,1748.06,27194.587981
1587562800000,15.5686,15.5814,15.562,15.566,3653.14,56907.33322000001,164.0,1969.56,30682.948353
1587562860000,15.567,15.5799,15.5602,15.5792,2905.18,45252.712959,101.0,2037.16,31735.548996
1587562920000,15.5759,15.5784,15.5521,15.5642,9071.29,141239.08068699998,71.0,1399.37,21784.472339
1587562980000,15.5641,15.57,15.558,15.5652,1628.51,25350.637373,106.0,1082.21,16847.395846
1587563040000,15.5601,15.5844,15.5582,15.5768,3764.2,58609.847608,130.0,3424.91,53327.674196
1587563100000,15.5778,15.625,15.576,15.6201,6367.41,99342.69348,256.0,5262.14,82097.30385299999
1587563160000,15.6257,15.6291,15.5829,15.6059,9807.38,153069.820855,208.0,3854.29,60174.791066
1587563220000,15.6059,15.62,15.5944,15.6064,22028.36,343858.175543,176.0,2013.66,31432.291632
1587563280000,15.6065,15.6308,15.6022,15.615,4040.55,63112.597648,188.0,2698.12,42146.650108
1587563340000,15.6172,15.62,15.6029,15.6099,9457.1,147654.531275,96.0,778.91,12162.187615
1587563400000,15.6109,15.6294,15.588,15.6158,3936.34,61427.222149,172.0,2569.16,40098.01069
1587563460000,15.6191,15.6287,15.5959,15.5959,1384.97,21612.440824,58.0,154.0,2404.119991
1587563520000,15.6016,15.6018,15.5853,15.6007,2222.47,34656.862354000004,108.0,1480.26,23084.97316
1587563580000,15.5986,15.6028,15.56,15.566,2550.67,39730.26774700001,106.0,1067.99,16632.514946
1587563640000,15.56,15.5767,15.56,15.5763,853.77,13288.594213,58.0,618.86,9632.451803
1587563700000,15.5683,15.569,15.55,15.5611,1655.87,25763.976058,74.0,615.29,9575.867973
1587563760000,15.5691,15.5691,15.55,15.5534,871.41,13556.580951,50.0,267.97,4169.907338
1587563820000,15.5557,15.5593,15.5344,15.5347,1473.83,22916.234611,103.0,509.14,7917.247743000001
1587563880000,15.5345,15.5829,15.5326,15.5829,11936.44,185802.563973,191.0,2839.08,44198.71287
1587563940000,15.5829,15.588,15.5542,15.5626,5276.78,82138.235787,127.0,662.91,10322.023503
1587564000000,15.5626,15.63,15.5626,15.606,7510.11,117190.277617,219.0,4273.67,66675.116952
1587564060000,15.6172,15.6251,15.5637,15.5942,16351.83,255222.900961,154.0,870.27,13578.206292
1587564120000,15.5905,15.5941,15.5625,15.5934,1040.39,16204.460092,66.0,648.05,10094.347029
1587564180000,15.5944,15.6092,15.5805,15.5805,1955.19,30495.302069,84.0,641.13,10001.152148
1587564240000,15.5805,15.5806,15.5668,15.5711,10128.43,157706.741479,73.0,2145.61,33408.932056
1587564300000,15.573,15.5895,15.5718,15.5847,1074.34,16737.101812,100.0,695.92,10842.257486
1587564360000,15.587,15.5912,15.5813,15.5912,253.09,3943.836271,10.0,11.64,181.427851
1587564420000,15.5898,15.5917,15.578,15.5783,737.74,11498.119265000001,39.0,401.05,6251.292108
1587564480000,15.5789,15.5866,15.5784,15.5829,790.4,12314.827087,30.0,54.89,855.4081679999997
1587564540000,15.5819,15.5883,15.567,15.588,1836.96,28613.052795999996,84.0,273.95,4268.297961
1587564600000,15.5882,15.5892,15.5804,15.5852,1407.69,21938.764933000002,50.0,957.63,14924.690793000002
1587564660000,15.5873,15.59,15.5831,15.5877,2164.96,33744.766702,58.0,1272.54,19836.231513
1587564720000,15.59,15.59,15.5743,15.59,987.74,15394.4546,50.0,144.27,2249.1102690000002
1587564780000,15.5892,15.5892,15.574000000000002,15.5773,4247.35,66191.209098,53.0,203.0,3162.12832
1587564840000,15.5775,15.5971,15.5671,15.5797,3156.93,49195.654347,121.0,2016.64,31429.943437
1587564900000,15.5885,15.6001,15.5799,15.5897,1105.48,17239.498778,56.0,825.26,12870.574183
1587564960000,15.5897,15.6001,15.5887,15.5991,902.15,14069.559355000001,49.0,551.34,8598.690352
1587565020000,15.5991,15.6102,15.5977,15.61,1722.22,26871.006525,103.0,1108.95,17303.975938
1587565080000,15.6102,15.62,15.6102,15.6124,1000.66,15626.225865,22.0,696.02,10869.900648
1587565140000,15.6123,15.6123,15.6068,15.6071,756.28,11804.16863,38.0,85.89,1340.545
1587565200000,15.6071,15.6276,15.6071,15.6231,1264.33,19746.752118,89.0,839.18,13106.402586
1587565260000,15.6227,15.6455,15.6225,15.64,3471.94,54275.965917999994,178.0,1675.15,26184.815059
1587565320000,15.6436,15.6485,15.6072,15.6326,5493.79,85903.620629,176.0,1098.79,17180.063458
1587565380000,15.6326,15.6505,15.6325,15.65,2468.01,38619.644196,129.0,2187.65,34233.080302999995
1587565440000,15.6492,15.6581,15.6371,15.6371,1957.18,30630.412411,118.0,857.25,13416.975522
1587565500000,15.6371,15.655,15.6368,15.6438,2848.53,44571.918611,123.0,2247.18,35160.392725
1587565560000,15.6436,15.65,15.6299,15.6375,2739.76,42827.8834,67.0,447.91,7003.67853
1587565620000,15.6362,15.68,15.6362,15.6746,10776.74,168736.288451,307.0,9645.16,151012.689407
1587565680000,15.6736,15.6769,15.6567,15.6575,1289.81,20209.305555000006,71.0,173.73,2723.123722
1587565740000,15.6621,15.7208,15.662,15.7122,15479.13,242963.326985,511.0,11312.69,177535.935202
1587565800000,15.7063,15.75,15.7035,15.75,21034.62,330710.787029,402.0,5236.96,82372.435267
1587565860000,15.74,15.75,15.6707,15.6931,4221.89,66315.647363,254.0,1648.75,25895.101045
1587565920000,15.6925,15.738,15.6667,15.6842,3851.67,60473.395684,222.0,2229.02,34993.642494
1587565980000,15.6907,15.7288,15.6827,15.7042,1426.57,22413.12495500001,98.0,863.22,13563.254404
1587566040000,15.7031,15.71,15.69,15.7097,2238.32,35133.682132999995,101.0,1087.7,17078.432761
1587566100000,15.7096,15.7535,15.7096,15.7395,7603.18,119666.36255399999,209.0,4976.14,78313.458532
1587566160000,15.7506,15.7515,15.7398,15.747,1241.6,19551.069585,61.0,726.26,11437.171874
1587566220000,15.7496,15.75,15.7207,15.7315,1663.32,26173.446182,62.0,454.39,7148.504036
1587566280000,15.7393,15.7666,15.7334,15.7666,15445.45,243103.558175,245.0,4438.3,69905.278364
1587566340000,15.7621,15.7744,15.7567,15.7729,3664.79,57784.146905999994,154.0,2765.84,43614.413446
1587566400000,15.7744,15.78,15.7367,15.7367,5909.32,93186.42148799999,180.0,2103.82,33183.860379000005
1587566460000,15.7429,15.76,15.7321,15.752,2117.48,33340.710238,102.0,1702.67,26808.175956
1587566520000,15.759,15.7591,15.7224,15.73,11688.17,183991.02731900002,107.0,1569.09,24698.692828
